date,trend,signal,trend+signal,return
2018-08-07T21:00:00,0.0,0.0,0.0,-0.08
2018-08-08T21:00:00,0.0,1.83,0.0,-2.01
2018-08-09T21:00:00,0.24,1.39,0.0,-2.35
2018-08-12T21:00:00,0.16,1.27,0.0,-2.37
2018-08-13T21:00:00,0.12,1.23,0.02,-2.43
2018-08-14T21:00:00,0.12,1.23,0.02,-2.62
2018-08-15T21:00:00,0.68,1.79,1.24,-1.96
2018-08-16T21:00:00,1.09,1.18,1.24,-1.45
2018-08-19T21:00:00,0.68,1.39,1.24,-1.76
2018-08-20T21:00:00,0.68,1.39,1.24,-1.55
2018-08-21T21:00:00,0.68,1.39,1.24,-1.58
2018-08-22T21:00:00,0.68,1.39,1.24,-2.08
2018-08-23T21:00:00,0.68,1.77,1.24,-1.6
2018-08-26T21:00:00,0.68,1.81,1.24,-1.74
2018-08-27T21:00:00,0.68,1.81,1.24,-1.9
2018-08-28T21:00:00,0.99,2.12,1.96,-2.31
2018-08-29T21:00:00,1.95,2.12,1.96,-3.37
2018-08-30T21:00:00,2.4,1.47,1.96,-3.92
2018-09-02T21:00:00,2.74,0.93,1.96,-4.36
2018-09-03T21:00:00,2.75,0.72,1.96,-4.47
2018-09-04T21:00:00,2.31,0.72,1.96,-4.13
2018-09-05T21:00:00,2.94,1.35,3.32,-4.86
2018-09-06T21:00:00,3.14,1.35,3.32,-5.16
2018-09-09T21:00:00,3.14,1.8,3.32,-4.61
2018-09-10T21:00:00,3.14,1.8,3.32,-4.89
2018-09-11T21:00:00,3.14,1.8,3.32,-4.59
2018-09-12T21:00:00,3.56,2.22,4.26,-5.11
2018-09-13T21:00:00,3.66,2.22,4.26,-5.31
2018-09-16T21:00:00,3.66,1.95,4.26,-5.48
2018-09-17T21:00:00,3.66,1.95,4.26,-5.27
2018-09-18T21:00:00,4.27,2.56,5.58,-4.56
2018-09-19T21:00:00,4.34,2.56,5.58,-4.39
2018-09-20T21:00:00,4.34,2.56,5.58,-4.44
2018-09-23T21:00:00,4.47,2.56,5.58,-4.21
2018-09-24T21:00:00,4.5,2.56,5.58,-4.08
2018-09-25T21:00:00,4.69,2.56,5.58,-3.79
2018-09-26T21:00:00,5.14,2.56,5.58,-3.24
2018-09-27T21:00:00,5.54,2.56,5.58,-2.74
2018-09-30T21:00:00,5.68,2.56,5.58,-2.5
2018-10-01T21:00:00,5.68,2.79,5.58,-2.83
2018-10-02T21:00:00,5.68,2.79,5.58,-3.08
2018-10-03T21:00:00,5.68,3.26,5.58,-3.65
2018-10-04T21:00:00,5.68,2.54,5.58,-4.27
2018-10-07T21:00:00,5.68,2.61,5.58,-4.1
2018-10-08T21:00:00,5.68,2.24,5.58,-3.83
2018-10-09T21:00:00,5.02,2.7,5.58,-4.39
2018-10-10T21:00:00,5.99,3.67,7.62,-3.32
2018-10-11T21:00:00,5.83,3.63,7.62,-3.38
2018-10-14T21:00:00,6.02,3.63,7.62,-3.09
2018-10-15T21:00:00,6.75,4.36,9.18,-2.26
2018-10-16T21:00:00,6.69,4.22,9.18,-2.22
2018-10-17T21:00:00,6.61,4.22,9.18,-2.2
2018-10-18T21:00:00,7.18,4.79,10.42,-1.53
2018-10-21T21:00:00,7.18,5.46,10.42,-2.3
2018-10-22T21:00:00,7.16,5.28,10.42,-2.38
2018-10-23T21:00:00,7.24,5.0,10.42,-2.56
2018-10-24T21:00:00,7.04,5.0,10.42,-2.46
2018-10-25T21:00:00,7.04,5.02,10.42,-2.58
2018-10-28T21:00:00,7.32,5.3,11.08,-2.2
2018-10-29T21:00:00,8.07,6.05,12.68,-1.35
2018-10-30T21:00:00,7.73,6.19,12.68,-1.59
2018-10-31T21:00:00,9.04,6.19,12.68,-0.18
