date,return
2021-11-14T22:00:00,-0.46
2021-11-15T22:00:00,-0.58
2021-11-16T22:00:00,0.19
2021-11-17T22:00:00,0.35
2021-11-18T22:00:00,-0.28
2021-11-21T22:00:00,-0.49
2021-11-22T22:00:00,0.05
2021-11-23T22:00:00,-0.08
2021-11-24T22:00:00,-0.23
2021-11-25T22:00:00,1.39
2021-11-28T22:00:00,0.18
2021-11-29T22:00:00,0.49
2021-11-30T22:00:00,-0.09
2021-12-01T22:00:00,-0.09
2021-12-02T22:00:00,0.28
2021-12-05T22:00:00,-0.7
2021-12-06T22:00:00,0.04
2021-12-07T22:00:00,0.5
2021-12-08T22:00:00,-0.33
2021-12-09T22:00:00,0.32
2021-12-12T22:00:00,-0.08
2021-12-13T22:00:00,-0.13
2021-12-14T22:00:00,-0.08
2021-12-15T22:00:00,0.65
2021-12-16T22:00:00,-0.57
2021-12-19T22:00:00,0.31
2021-12-20T22:00:00,-0.24
2021-12-21T22:00:00,0.47
2021-12-22T22:00:00,0.16
2021-12-23T22:00:00,0.05
2021-12-26T22:00:00,0.15
2021-12-27T22:00:00,0.02
2021-12-28T22:00:00,0.31
2021-12-29T22:00:00,0.13
2021-12-30T22:00:00,0.1
2022-01-02T22:00:00,-0.82
2022-01-03T22:00:00,0.28
2022-01-04T22:00:00,-0.08
2022-01-05T22:00:00,-0.43
2022-01-06T22:00:00,0.26
2022-01-09T22:00:00,-0.93
2022-01-10T22:00:00,0.43
2022-01-11T22:00:00,0.94
2022-01-12T22:00:00,0.3
2022-01-13T22:00:00,-0.35
2022-01-16T22:00:00,-0.01
2022-01-17T22:00:00,-0.35
2022-01-18T22:00:00,0.17
2022-01-19T22:00:00,-0.14
2022-01-20T22:00:00,0.54
2022-01-23T22:00:00,-0.22
2022-01-24T22:00:00,-0.52
2022-01-25T22:00:00,-0.7
2022-01-26T22:00:00,-0.76
2022-01-27T22:00:00,-0.0
2022-01-30T22:00:00,0.53
2022-01-31T22:00:00,0.64
2022-02-01T22:00:00,0.32
2022-02-02T22:00:00,-0.21
2022-02-03T22:00:00,-0.68
2022-02-06T22:00:00,0.27
2022-02-07T22:00:00,-0.1
2022-02-08T22:00:00,0.03
2022-02-09T22:00:00,-0.02
2022-02-10T22:00:00,0.07
2022-02-13T22:00:00,0.09
2022-02-14T22:00:00,-0.11
2022-02-15T22:00:00,0.34
2022-02-16T22:00:00,0.22
2022-02-17T22:00:00,-0.12
2022-02-20T22:00:00,0.62
2022-02-21T22:00:00,-0.61
2022-02-22T22:00:00,0.34
2022-02-23T22:00:00,-0.76
2022-02-24T22:00:00,0.02
2022-02-27T22:00:00,1.25
2022-02-28T22:00:00,-0.2
2022-03-01T22:00:00,-0.24
2022-03-02T22:00:00,0.36
2022-03-03T22:00:00,-0.0
2022-03-06T22:00:00,-0.84
2022-03-07T22:00:00,-0.4
2022-03-08T22:00:00,0.25
2022-03-09T22:00:00,-0.38
2022-03-10T22:00:00,-0.46
2022-03-13T21:00:00,-0.44
2022-03-14T21:00:00,-0.36
2022-03-15T21:00:00,-0.06
2022-03-16T21:00:00,0.33
2022-03-17T21:00:00,0.67
2022-03-20T21:00:00,-0.12
2022-03-21T21:00:00,0.12
2022-03-22T21:00:00,0.23
2022-03-23T21:00:00,-0.0
2022-03-24T21:00:00,0.04
2022-03-27T21:00:00,-0.39
2022-03-28T21:00:00,0.33
2022-03-29T21:00:00,0.88
2022-03-30T21:00:00,0.09
2022-03-31T21:00:00,-0.31
2022-04-03T21:00:00,-0.05
2022-04-04T21:00:00,-0.33
2022-04-05T21:00:00,-0.35
2022-04-06T21:00:00,-0.11
2022-04-07T21:00:00,-0.01
2022-04-10T21:00:00,0.1
2022-04-11T21:00:00,-0.21
2022-04-12T21:00:00,-0.16
2022-04-13T21:00:00,-0.84
2022-04-14T21:00:00,-0.06
2022-04-17T21:00:00,-0.11
2022-04-18T21:00:00,-0.86
2022-04-19T21:00:00,0.39
2022-04-20T21:00:00,-0.48
2022-04-21T21:00:00,-0.36
2022-04-24T21:00:00,-0.31
2022-04-25T21:00:00,-0.41
2022-04-26T21:00:00,-0.7
2022-04-27T21:00:00,-0.5
2022-04-28T21:00:00,-0.15
2022-05-01T21:00:00,-0.73
2022-05-02T21:00:00,-0.09
2022-05-03T21:00:00,-0.69
2022-05-04T21:00:00,0.03
2022-05-05T21:00:00,-0.37
2022-05-08T21:00:00,-0.66
2022-05-09T21:00:00,-0.2
2022-05-10T21:00:00,0.21
2022-05-11T21:00:00,-0.87
2022-05-12T21:00:00,0.15
2022-05-15T21:00:00,0.03
2022-05-16T21:00:00,0.91
2022-05-17T21:00:00,0.52
2022-05-18T21:00:00,1.58
2022-05-19T21:00:00,-0.04
2022-05-22T21:00:00,0.99
2022-05-23T21:00:00,0.56
2022-05-24T21:00:00,-0.24
2022-05-25T21:00:00,0.31
2022-05-26T21:00:00,0.12
2022-05-29T21:00:00,-0.06
2022-05-30T21:00:00,-0.18
2022-05-31T21:00:00,-0.46
2022-06-01T21:00:00,0.52
2022-06-02T21:00:00,-0.45
2022-06-05T21:00:00,-0.86
2022-06-06T21:00:00,-0.19
2022-06-07T21:00:00,-0.58
2022-06-08T21:00:00,-0.23
2022-06-09T21:00:00,-0.77
